date,stock,open,high,low,close,volume
2014-07-01,1,23.3799991607666,23.51749992370605,23.28249931335449,20.91440773010254,152892000.0
2014-07-02,1,23.467500686645508,23.51499938964844,23.272499084472656,20.905460357666016,113860000.0
2014-07-03,1,23.417499542236328,23.524999618530277,23.299999237060547,21.028465270996094,91567200.0
2014-07-07,1,23.53499984741211,23.997499465942383,23.524999618530277,21.46231460571289,225872000.0
2014-07-08,1,24.0674991607666,24.200000762939453,23.479999542236328,21.32366180419922,260888000.0
2014-07-09,1,23.86000061035156,23.987499237060547,23.690000534057617,21.332599639892575,145744000.0
2014-07-10,1,23.440000534057617,23.887500762939453,23.3799991607666,21.254335403442383,158744000.0
2014-07-11,1,23.84000015258789,23.97249984741211,23.71500015258789,21.294586181640625,136072000.0
2014-07-14,1,23.96500015258789,24.22249984741211,23.912500381469727,21.569656372070312,171240000.0
2014-07-15,1,24.200000762939453,24.212499618530277,23.75749969482422,21.316951751708984,181911600.0
2014-07-16,1,24.24250030517578,24.274999618530277,23.684999465942383,21.19618797302246,213585200.0
2014-07-17,1,23.75749969482422,23.81999969482422,23.14249992370605,20.818239212036133,229192000.0
2014-07-18,1,23.405000686645508,23.684999465942383,23.2549991607666,21.1179141998291,199952000.0
2014-07-21,1,23.747499465942383,23.75,23.43000030517578,21.008337020874023,156316000.0
2014-07-22,1,23.670000076293945,23.72249984741211,23.530000686645508,21.18276596069336,220788000.0
2014-07-23,1,23.854999542236328,24.46999931335449,23.792499542236328,21.735151290893555,371672000.0
2014-07-24,1,24.26000022888184,24.32999992370605,24.104999542236328,21.699373245239254,182916000.0
2014-07-25,1,24.212499618530277,24.459999084472656,24.15999984741211,21.842493057250977,173876000.0
2014-07-28,1,24.45499992370605,24.809999465942383,24.387500762939453,22.1444034576416,221272000.0
2014-07-29,1,24.832500457763672,24.86000061035156,24.5625,22.00127601623535,172572000.0
2014-07-30,1,24.61000061035156,24.674999237060547,24.417499542236328,21.94984436035156,132040000.0
2014-07-31,1,24.290000915527344,24.362499237060547,23.832500457763672,21.379568099975582,227372000.0
2014-08-01,1,23.725000381469727,24.155000686645508,23.70249938964844,21.49808883666992,194044000.0
2014-08-04,1,24.092500686645508,24.145000457763672,23.792499542236328,21.37733268737793,159832000.0
2014-08-05,1,23.84000015258789,23.920000076293945,23.59000015258789,21.2722225189209,223732000.0
2014-08-06,1,23.6875,23.8700008392334,23.677499771118164,21.2364444732666,154232000.0
2014-08-07,1,23.732500076293945,23.987499237060547,23.524999618530277,21.234193801879883,186844000.0
2014-08-08,1,23.565000534057617,23.70499992370605,23.31999969482422,21.292631149291992,167460000.0
