code,name,market_cap,rank
NXPI,NXP Semiconductors NV,0.141628,148
MCK,McKesson Corporation,0.14138,149
AEP,American Electric Power Company Inc,0.141379,150
MCO,Moodys Corporation,0.141302,151
SLB,Schlumberger NV,0.14103,152
MPC,Marathon Petroleum Corporation,0.138756,153
CDNS,Cadence Design Systems Inc,0.137668,154
ORLY,OReilly Automotive Inc,0.133727,155
COF,Capital One Financial Corp,0.133256,156
GIS,General Mills Inc,0.130647,157
SYY,Sysco Corporation,0.130409,158
ROP,Roper Technologies Inc,0.129679,159
KMB,Kimberly-Clark Corporation,0.129612,160
ADSK,Autodesk Inc,0.129157,161
LHX,L3Harris Technologies Inc,0.128232,162
IQV,IQVIA Holdings Inc,0.127455,163
O,Realty Income Corporation,0.125979,164
AZO,AutoZone Inc,0.125943,165
VLO,Valero Energy Corporation,0.125531,166
MET,MetLife Inc,0.125325,167
FCX,Freeport-McMoRan Inc,0.125172,168
EXC,Exelon Corporation,0.124702,169
FTNT,Fortinet Inc,0.123638,170
ADM,Archer-Daniels-Midland Company,0.123573,171
APH,Amphenol Corporation Class A,0.123362,172
MAR,Marriott International Inc Class A,0.123173,173
NEM,Newmont Corporation,0.122732,174
HCA,HCA Healthcare Inc,0.122396,175
PSX,Phillips 66,0.121628,176
AIG,American International Group Inc,0.121348,177
TEL,TE Connectivity Ltd,0.120725,178
ECL,Ecolab Inc,0.119839,179
STZ,Constellation Brands Inc Class A,0.117522,180
WMB,Williams Companies Inc,0.116078,181
CTVA,Corteva Inc,0.115826,182
PAYX,Paychex Inc,0.115213,183
DLTR,Dollar Tree Inc,0.114018,184
A,Agilent Technologies Inc,0.113494,185
CMG,Chipotle Mexican Grill Inc,0.113086,186
DOW,Dow Inc,0.112266,187
TRV,Travelers Companies Inc,0.111937,188
MSI,Motorola Solutions Inc,0.110942,189
WELL,Welltower Inc,0.109543,190
XEL,Xcel Energy Inc,0.109398,191
EA,Electronic Arts Inc,0.108647,192
MCHP,Microchip Technology Incorporated,0.108485,193
MSCI,MSCI Inc Class A,0.107584,194
PRU,Prudential Financial Inc,0.107248,195
CTSH,Cognizant Technology Solutions Corporation Class A,0.10689,196
MNST,Monster Beverage Corporation,0.106461,197
JCI,Johnson Controls International plc,0.105534,198
DLR,Digital Realty Trust Inc,0.105047,199
AJG,Arthur J Gallagher and Co,0.104604,200
HPQ,HP Inc,0.104571,201
CTAS,Cintas Corporation,0.104384,202
SBAC,SBA Communications Corp Class A,0.103541,203
YUM,Yum! Brands Inc,0.102836,204
DVN,Devon Energy Corporation,0.102344,205
PH,Parker-Hannifin Corporation,0.102087,206
KMI,Kinder Morgan Inc Class P,0.101476,207
NUE,Nucor Corporation,0.101451,208
GPN,Global Payments Inc,0.101352,209
SPG,Simon Property Group Inc,0.100993,210
RMD,ResMed Inc,0.100785,211
HLT,Hilton Worldwide Holdings Inc,0.100213,212
IDXX,IDEXX Laboratories Inc,0.09992,213
BAX,Baxter International Inc,0.098641,214
DXCM,DexCom Inc,0.097808,215
AFL,Aflac Incorporated,0.097693,216
CARR,Carrier Global Corp,0.096879,217
TT,Trane Technologies plc,0.09559,218
ILMN,Illumina Inc,0.095566,219
BK,Bank of New York Mellon Corp,0.095179,220
ED,Consolidated Edison Inc,0.09488,221
WBD,Warner Bros Discovery Inc Series A,0.09474,222
ALL,Allstate Corporation,0.09456,223
VICI,VICI Properties Inc,0.094257,224
BIIB,Biogen Inc,0.092818,225
HSY,Hershey Company,0.092533,226
TDG,TransDigm Group Incorporated,0.092134,227
IFF,International Flavors and Fragrances Inc,0.091956,228
OTIS,Otis Worldwide Corporation,0.091792,229
KR,Kroger Co,0.09008,230
WEC,WEC Energy Group Inc,0.089477,231
MTB,MandT Bank Corporation,0.089437,232
TWTR,Twitter Inc,0.089436,233
PEG,Public Service Enterprise Group Inc,0.08885,234
DD,DuPont de Nemours Inc,0.088065,235
VRSK,Verisk Analytics Inc,0.08786,236
ROST,Ross Stores Inc,0.087801,237
CMI,Cummins Inc,0.087274,238
ENPH,Enphase Energy Inc,0.087221,239
PCAR,PACCAR Inc,0.086491,240
FRC,First Republic Bank,0.086131,241
PPG,PPG Industries Inc,0.086023,242
HES,Hess Corporation,0.084951,243
MTD,Mettler-Toledo International Inc,0.084554,244
ES,Eversource Energy,0.084102,245
DFS,Discover Financial Services,0.083359,246
KEYS,Keysight Technologies Inc,0.083322,247
TROW,T Rowe Price Group,0.083212,248
FAST,Fastenal Company,0.082615,249
WBA,Walgreens Boots Alliance Inc,0.081389,250
RSG,Republic Services Inc,0.081307,251
AMP,Ameriprise Financial Inc,0.080843,252
AVB,AvalonBay Communities Inc,0.080691,253
APTV,Aptiv PLC,0.080073,254
KDP,Keurig Dr Pepper Inc,0.079399,255
KHC,Kraft Heinz Company,0.079355,256
ON,ON Semiconductor Corporation,0.078856,257
AME,AMETEK Inc,0.078815,258
CBRE,CBRE Group Inc Class A,0.078803,259
GLW,Corning Inc,0.078597,260
WY,Weyerhaeuser Company,0.07846,261
AWK,American Water Works Company Inc,0.078102,262
ODFL,Old Dominion Freight Line Inc,0.078035,263
CPRT,Copart Inc,0.077955,264
ALB,Albemarle Corporation,0.077784,265
EBAY,eBay Inc,0.077485,266
OKE,ONEOK Inc,0.076733,267
ROK,Rockwell Automation Inc,0.07541,268
SIVB,SVB Financial Group,0.075356,269
HAL,Halliburton Company,0.074818,270
STT,State Street Corporation,0.073104,271
EQR,Equity Residential,0.073001,272
DHI,DR Horton Inc,0.072868,273
EFX,Equifax Inc,0.072011,274
TSN,Tyson Foods Inc Class A,0.07147,275
LUV,Southwest Airlines Co,0.071318,276
ANET,Arista Networks Inc,0.070187,277
DTE,DTE Energy Company,0.069419,278
EXR,Extra Space Storage Inc,0.069213,279
BALL,Ball Corporation,0.069176,280
BKR,Baker Hughes Company Class A,0.069154,281
FITB,Fifth Third Bancorp,0.069128,282
WST,West Pharmaceutical Services Inc,0.069007,283
LH,Laboratory Corporation of America Holdings,0.068625,284
CDW,CDW Corp,0.068611,285
EIX,Edison International,0.068009,286
LYB,LyondellBasell Industries NV,0.067707,287
CTRA,Coterra Energy Inc,0.067189,288
CHD,Church and Dwight Co Inc,0.067165,289
TSCO,Tractor Supply Company,0.0669,290
ANSS,ANSYS Inc,0.066804,291
WTW,Willis Towers Watson Public Limited Company,0.066785,292
ZBH,Zimmer Biomet Holdings Inc,0.066747,293
DRE,Duke Realty Corporation,0.066592,294
AEE,Ameren Corporation,0.065538,295
ARE,Alexandria Real Estate Equities Inc,0.065299,296
ETR,Entergy Corporation,0.065141,297
STE,STERIS Plc,0.065099,298
FE,FirstEnergy Corp,0.06381,299
ULTA,Ulta Beauty Inc,0.063728,300
LEN,Lennar Corporation Class A,0.063488,301
ABC,AmerisourceBergen Corporation,0.063335,302
WAT,Waters Corporation,0.063227,303
HIG,Hartford Financial Services Group Inc,0.0625,304
IT,Gartner Inc,0.062454,305
MTCH,Match Group Inc,0.062425,306
FTV,Fortive Corp,0.062108,307
TTWO,Take-Two Interactive Software Inc,0.061826,308
ALGN,Align Technology Inc,0.061567,309
VMC,Vulcan Materials Company,0.061198,310
GWW,WW Grainger Inc,0.061117,311
MKC,McCormick and Company Incorporated,0.060953,312
MLM,Martin Marietta Materials Inc,0.060641,313
PPL,PPL Corporation,0.060476,314
VTR,Ventas Inc,0.060467,315
DAL,Delta Air Lines Inc,0.060288,316
GPC,Genuine Parts Company,0.060193,317
NTRS,Northern Trust Corporation,0.059903,318
URI,United Rentals Inc,0.059667,319
NDAQ,Nasdaq Inc,0.059611,320
MAA,Mid-America Apartment Communities Inc,0.058557,321
MPWR,Monolithic Power Systems Inc,0.05846,322
CTLT,Catalent Inc,0.058344,323
FANG,Diamondback Energy Inc,0.058197,324
RF,Regions Financial Corporation,0.057089,325
HBAN,Huntington Bancshares Incorporated,0.056975,326
AMCR,Amcor PLC,0.056577,327
PWR,Quanta Services Inc,0.056133,328
TDY,Teledyne Technologies Incorporated,0.055669,329
RJF,Raymond James Financial Inc,0.055627,330
EPAM,EPAM Systems Inc,0.055438,331
PKI,PerkinElmer Inc,0.055171,332
CFG,Citizens Financial Group Inc,0.05494,333
CMS,CMS Energy Corporation,0.05476,334
CNP,CenterPoint Energy Inc,0.054467,335
HPE,Hewlett Packard Enterprise Co,0.054144,336
